n_instancias,dimensiones,cohesion,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,silhouette_global,linkage,metric,p,pca,poda,ARI_Train,NMI_Train,FMI_Train,Purity_Train,Hungarian_accuracy_Train,ARI_test,NMI_test,FMI_test,Purity_test,Hungarian_accuracy_test
900,450,3.264178917901884,7.040356116583397,4.658019914994118,10.43227484306248,0.08980166048982485,mean,euclidean,1,450,4.3,-0.0002541693479215054,0.04581695118093683,0.1988478515811112,0.12566641279512566,0.12261995430312261,-0.0006799297827868083,0.05432077937166022,0.18606634255700372,0.11502347417840375,0.11032863849765258
900,450,3.2124820617608782,7.006841352984475,4.6851911787744855,11.299610897232384,0.11857955092662893,mean,euclidean,1,450,4.6,0.0018003606124680624,0.06013396321762737,0.20049644458167035,0.12947448591012947,0.12718964204112718,-0.0021225711224491105,0.037346516147821064,0.17580910361771362,0.10446009389671361,0.10211267605633803
900,300,2.997033761193733,6.391544000990831,4.0369693449511965,11.290353364929885,0.02844258673207221,mean,euclidean,1,300,4,-0.0005097003505493407,0.1097490918582759,0.18586252459786365,0.14775323686214775,0.12795125666412796,-0.0028664039973765546,0.11015995021323585,0.15608060355909023,0.12206572769953052,0.11267605633802817
900,300,3.2188145178254057,6.995094609891187,4.350946501203884,10.425554235534685,0.08957952291193806,mean,euclidean,1,300,4.3,0.0003093869281558181,0.05398761875021202,0.1990267971308811,0.12795125666412796,0.12490479817212491,-1.718202401264169e-05,0.07916985291800571,0.18470171121833576,0.12206572769953052,0.11619718309859155
900,300,3.252365001591094,6.9827809974050306,4.650632928183718,10.425361340001276,0.08983224255010056,mean,euclidean,1,300,4.6,-0.0001058970445795729,0.04360288801249307,0.19965287448202682,0.12490479817212491,0.12185833968012186,-3.501108006542317e-05,0.06764160185836579,0.18725460152716972,0.11854460093896714,0.11619718309859155
900,150,3.065490811290476,6.570111746885721,4.045220859397355,11.220780307720737,0.09170754232572206,mean,euclidean,1,150,4,-0.001227826549538868,0.07619444848335617,0.19169699603635923,0.13404417364813404,0.12490479817212491,-0.0021322279557731364,0.09908399276985186,0.16830403048654377,0.12206572769953052,0.11150234741784038
900,150,3.189904150226846,7.137322411588976,4.666916732132257,11.221381701576185,0.1185682787666432,mean,euclidean,1,150,4.3,-0.00025695766650789216,0.0413631125321019,0.19946672160103715,0.12414318354912414,0.1210967250571211,-0.0015715935108543335,0.05024725460064118,0.18665378026408042,0.11267605633802817,0.1068075117370892
900,150,3.1827201738562443,7.074770775415528,4.667734949085203,11.229111490368387,0.1181449052311593,mean,euclidean,1,150,4.6,-0.0004658287565133403,0.04427056402404903,0.19836924460243044,0.12414318354912414,0.1210967250571211,-0.0017422016050280327,0.054670929839015586,0.18487404341333574,0.11267605633802817,0.1068075117370892
900,600,6.694504186786507e-15,4.81607645612602,1.335677981512308,11.301272935933897,0.9999999999999999,single,manhattan,1,600,4,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.002462091142160914,0.5324992778921173,0.01621770876615239,0.465962441314554,0.08450704225352113
900,600,5.569135654963846e-15,4.816072983720425,1.336357692370645,11.301312204020181,0.9999999999999999,single,manhattan,1,600,4.3,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.002462091142160914,0.5324992778921173,0.01621770876615239,0.465962441314554,0.08450704225352113
